지역,발생일시,복구일시,정전가구
서울특별시 송파구,2021.07.21 18:00 , 2021.07.21 23:58,2000
충청북도 음성군,2021.07.21 16:25 , 2021.07.21 16:22,1000
충청북도 음성군,2021.07.21 16:25 , 2021.07.21 16:20,5000
충청북도 보은군,2021.07.21 16:20 , 2021.07.21 16:18,1000
충청북도 제천시,2021.07.21 16:19 , 2021.07.21 16:39,1000
충청북도 옥천군,2021.07.21 16:17 , 2021.07.21 16:18,1000
충청북도 제천시,2021.07.21 16:17 , 2021.07.21 16:19,1000
충청북도 제천시,2021.07.21 16:17 , 2021.07.21 16:34,1000
부산광역시 부산진구,2021.07.21 16:15 , 2021.07.21 16:48,1000
부산광역시 남구,2021.07.21 16:15 , 2021.07.21 16:49,1000
충청북도 음성군,2021.07.21 16:10 , 2021.07.21 16:11,0
충청북도 영동군,2021.07.21 16:10 , 2021.07.21 16:19,1000
충청북도 단양군,2021.07.21 16:00 , 2021.07.21 16:19,1000
